subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.242564,0.123174,0.013703,0.008551,9.204477,2.818800,0.759264,43.535220
3001,social,0.658505,0.531741,1.000000,0.694253,0.371535,0.206244,0.061431,97.096823
3002,money,0.269721,0.481494,0.521062,0.096947,0.856628,0.403390,0.333185,87.098272
3002,social,0.281752,0.087558,0.014569,0.005256,5.135022,0.885715,0.421445,89.856186
3004,money,0.282204,6.668409,0.000000,0.020379,29.999665,2014.378274,0.828221,37.360815
3004,social,0.520334,0.304045,0.857161,0.178291,2.426019,0.648233,0.731143,50.280928
3005,money,0.004115,0.029520,0.001231,0.003317,29.948691,34.966150,0.250452,116.655742
3005,social,0.004473,0.049625,0.000000,0.028169,29.999905,3705.064106,0.098313,137.535724
3006,money,0.196816,14.704642,0.000000,0.429155,9.772194,379.832589,0.714815,53.350549
3006,social,0.692159,0.000070,0.069632,0.093896,6.019500,1.065171,0.818751,38.378815
3010,money,0.525957,0.165613,0.229083,0.000266,2.140487,0.371445,0.602310,64.870076
3010,social,0.771494,0.089815,0.183503,0.119969,0.484768,0.277584,0.250721,105.912082
3011,money,0.738762,0.307801,0.775334,0.226324,1.874916,0.629975,0.621601,61.268674
3011,social,0.000000,0.080551,0.444546,0.027926,1.830434,0.372979,0.373073,97.127115
3014,money,0.999997,3364750.258340,0.000000,74906.581670,3.737671,1775440.351504,0.761009,45.136204
3014,social,0.047322,0.043203,0.484643,0.059940,2.417762,0.643623,0.536725,70.624916
3015,money,0.107402,0.076925,0.321434,0.090891,4.868393,0.512820,0.837136,36.393281
3015,social,0.427007,34.817355,0.699718,0.497678,2.121813,4404.459822,0.795542,40.273169
3016,money,0.369213,419.756241,0.000000,0.006828,29.999906,3769.461450,0.879994,30.451933
3016,social,0.468571,0.140737,0.009807,0.006839,6.229126,1.309485,0.703427,54.929193
3017,money,0.146334,0.074746,0.512656,0.105796,6.245899,0.604214,0.861341,33.037731
3017,social,0.264674,0.203197,0.327226,0.078282,3.833933,1.329945,0.829150,37.500339
3018,money,0.225704,0.228714,0.033475,0.015496,3.057339,0.648448,0.477591,86.236757
3018,social,0.109353,5.074620,0.026021,2.677622,6.751887,11.985830,0.546370,76.702023
3020,money,0.617646,0.268491,0.014188,0.024010,29.998777,28.211953,0.955802,19.759436
3020,social,0.205852,363525.592327,0.000000,17395.704968,9.633298,3073537.584863,0.780757,43.874932
3021,money,0.300708,0.045335,0.000000,0.104962,9.070737,2.479814,0.861581,32.782396
3021,social,0.195376,0.518791,1.000000,0.006010,2.690801,849.667253,0.808001,40.135973
3023,money,0.231774,0.572520,0.465320,0.008839,3.301555,359.022430,0.765398,45.982893
3023,social,0.206402,364.203554,1.000000,5.027618,0.157480,155.514031,0.010653,143.956592
3026,money,0.117297,0.043201,0.000000,0.316302,6.797879,1.355836,0.666704,56.568117
3026,social,0.540241,0.394161,1.000000,0.012959,0.896317,7.446008,0.455779,86.120306
3029,money,0.260978,69.632137,0.000000,0.010814,29.998880,7196.024440,0.839925,36.006562
3029,social,0.999999,0.471062,0.432126,0.085641,3.865145,0.533947,0.869507,31.694644
