subject,condition,repeat,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
money,3002,1,0.458395,0.136926,1.713035,0.294396,0.249681,91.977136
money,3002,2,0.458395,0.268741,1.713035,1.495327,0.249681,91.977136
money,3002,3,0.458395,0.233084,1.713035,0.259633,0.249681,91.977136
money,3002,4,0.458395,0.120186,1.713035,0.462369,0.249681,91.977136
money,3002,5,0.458395,0.321441,1.713035,0.470711,0.249681,91.977136
money,3002,6,0.458395,0.130895,1.713035,0.380006,0.249681,91.977136
money,3002,7,0.458395,0.271895,1.713035,0.091922,0.249681,91.977136
money,3002,8,0.458395,0.356025,1.713035,1.014430,0.249681,91.977136
money,3002,9,0.458395,0.325998,1.713035,1.572272,0.249681,91.977136
money,3002,10,0.458395,0.187841,1.713035,0.925166,0.249681,91.977136
money,3004,1,0.253355,0.200143,49.999978,45.559826,0.907763,21.849097
money,3004,2,0.253355,0.143162,49.999978,44.558453,0.907763,21.849097
money,3004,3,0.253355,0.242261,49.999978,48.769483,0.907763,21.849097
money,3004,4,0.253355,0.128492,49.999978,46.296540,0.907763,21.849097
money,3004,5,0.253355,0.397382,49.999978,51.234653,0.907763,21.849097
money,3004,6,0.253355,0.198766,49.999999,45.305103,0.907763,21.849097
money,3004,7,0.253355,0.192957,49.999978,38.496963,0.907763,21.849097
money,3004,8,0.253355,0.244003,49.999999,49.632311,0.907763,21.849097
money,3004,9,0.253355,0.203141,49.999978,47.226612,0.907763,21.849097
money,3004,10,0.253355,0.176877,49.999978,41.071264,0.907763,21.849097
money,3005,1,0.001717,0.003967,49.944936,4.600776,0.172236,122.795154
money,3005,2,0.001718,0.000662,49.931205,14.867657,0.172236,122.795154
money,3005,3,0.001716,0.005420,49.997241,155.146223,0.172236,122.795154
money,3005,4,0.001725,0.006566,49.727091,214.411987,0.172236,122.795155
money,3005,5,0.001718,0.001831,49.931198,47.992735,0.172236,122.795155
money,3005,6,0.001718,0.001982,49.931206,56.656081,0.172236,122.795154
money,3005,7,0.001718,0.004293,49.931005,6.103538,0.172236,122.795154
money,3005,8,0.001718,0.030525,49.931198,207.552443,0.172236,122.795154
money,3005,9,0.001716,0.004707,49.986209,127.029782,0.172236,122.795155
money,3005,10,0.001717,0.006095,49.944930,177.595140,0.172236,122.795154
money,3006,1,0.108666,0.041272,5.312633,4.375658,0.381389,94.968096
money,3006,2,0.108666,0.093621,5.312633,0.757708,0.381389,94.968096
money,3006,3,0.108666,0.048520,5.312634,0.502322,0.381389,94.968096
