subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.242564,0.154861,0.013703,0.009680,9.204466,3.711591,0.759264,43.535220
3001,social,0.658505,0.441285,1.000000,0.800544,0.371535,0.396495,0.061431,97.096823
3002,money,0.822874,0.187552,0.010061,0.005691,2.780440,0.424968,0.333185,87.098272
3002,social,0.281752,0.070559,0.014569,0.005502,5.135024,0.750441,0.421445,89.856186
3004,money,0.474345,263.791619,0.647429,0.690301,3.345927,61775.165727,0.828221,37.360815
3004,social,0.173843,0.267596,1.000000,0.166067,3.074285,0.649209,0.731143,50.280928
3005,money,0.004115,0.002575,0.001231,0.000975,29.948687,7.011512,0.250452,116.655743
3005,social,0.000000,3.876650,0.606548,0.028207,0.261325,5279.422040,0.098313,137.535724
3006,money,0.196816,91.634216,0.000000,2.858423,9.772202,742.349486,0.714815,53.350549
3006,social,0.692159,0.020260,0.069632,0.430753,6.019499,2.195799,0.818751,38.378813
3010,money,0.526112,0.165594,0.229083,0.000168,2.134092,0.396826,0.602310,64.870076
3010,social,0.155577,0.588466,0.000000,0.115882,2.671779,0.605813,0.250721,105.912082
3011,money,0.738762,0.100529,0.775334,0.130633,1.874916,0.963948,0.621601,61.268674
3011,social,0.104565,0.090793,0.040991,0.035542,2.522129,1.577701,0.373073,97.127115
3014,money,0.632371,200.985356,0.348626,7.595679,0.000001,227.168333,0.761009,45.136204
3014,social,0.047322,0.036326,0.484643,0.143679,2.417762,0.384272,0.536725,70.624916
3015,money,0.107402,0.110803,0.321434,0.177747,4.868394,3.099592,0.837136,36.393281
3015,social,0.427007,7.358638,0.699718,0.119755,2.121813,1014.465899,0.795542,40.273169
3016,money,0.369214,1041.162455,0.000000,0.014544,29.999530,6795.092213,0.879994,30.451933
3016,social,0.384034,0.146781,0.765931,0.006928,2.031298,1.175197,0.703427,54.929193
3017,money,0.146334,0.065635,0.512656,0.087595,6.245899,1.777432,0.861341,33.037731
3017,social,0.098937,0.160867,0.000000,0.080648,19.906370,1.182161,0.829150,37.500339
3018,money,0.188119,0.143816,0.020395,0.035208,3.929861,1.580669,0.477591,86.236757
3018,social,0.109353,0.135684,0.026021,0.040295,6.751883,7.716299,0.546370,76.702023
3020,money,0.933014,0.378873,0.605285,0.015260,1.262263,30.874278,0.955802,19.759436
3020,social,0.205852,13746.827272,0.000000,678.442540,9.633299,156300.432384,0.780757,43.874932
3021,money,0.175844,0.045793,1.000000,0.104039,6.284295,2.464322,0.861581,32.782396
3021,social,0.195376,0.454852,1.000000,0.001855,2.690801,233.821337,0.808001,40.135973
3023,money,0.231768,0.585716,0.465304,0.037498,3.301751,1572.761232,0.765398,45.982893
3023,social,0.206402,3979.509311,1.000000,340.102954,0.157480,12446.378001,0.010653,143.956595
3026,money,0.117297,0.046264,0.000000,0.095626,6.797878,0.332020,0.666704,56.568117
3026,social,0.185628,56.925191,0.000000,1.898248,6.263384,1119.562595,0.455779,86.120306
3029,money,0.260977,6.981684,0.000000,0.005637,29.999720,2737.303051,0.839925,36.006562
3029,social,0.498020,0.472337,0.000000,0.091075,26.948473,1.177769,0.869507,31.694644
3030,money,0.544958,0.717220,0.134362,0.004532,3.248266,62.537601,0.701925,55.137486
3030,social,0.102859,0.481886,1.000000,0.005333,2.403834,204.432976,0.817602,38.818289
3033,money,0.279522,333.466808,0.000000,0.751131,29.999727,144029.633053,0.839940,36.004607
3033,social,0.696175,0.620235,0.295232,0.636433,1.790720,0.884721,0.597015,66.733978
3034,money,1.000000,1.904725,0.031949,0.012399,0.973760,3862.791078,0.259566,106.940394
3034,social,0.372669,0.150056,0.005283,0.010056,4.583157,1.108517,0.483409,70.437848
4001,money,0.715468,0.240386,0.765471,0.356544,3.802377,1.006231,0.797630,41.559320
4001,social,0.199038,0.139494,0.310143,0.108948,2.743285,0.605184,0.716019,52.759766
4002,money,0.350935,1.834225,0.258437,0.011014,5.187238,24.063595,0.845054,34.559756
4002,social,0.252709,0.251930,0.016005,0.137791,10.617866,1.120227,0.805961,40.116420
4003,money,0.277858,0.119288,0.000285,0.005950,6.968752,1.352352,0.670285,58.548897
4003,social,0.182969,0.798649,0.000000,1.959497,7.554558,5.407114,0.706870,54.451969
4004,money,0.045902,0.056285,0.000143,0.001891,29.999554,34.346271,0.842983,35.582653
4004,social,0.323789,57287.019856,0.000000,7.318936,29.999816,13354968.724926,0.719980,52.634474
4005,money,0.146176,0.046283,0.052118,0.740728,3.083203,0.892391,0.534565,76.311451
4005,social,0.107507,0.104059,0.000000,0.104173,17.061447,0.854031,0.770554,43.879226
4006,money,0.429208,0.217327,0.254477,0.084619,2.364070,0.393356,0.637911,64.011717
4006,social,0.409045,0.259241,0.324245,0.090812,5.508698,2.318118,0.899401,27.591866
4007,money,0.177481,0.166239,0.287611,0.098121,2.405125,0.218489,0.644827,62.007617
4007,social,0.394173,0.374777,0.011718,0.338828,5.141754,0.639169,0.601978,67.828969
4008,money,0.276012,0.429996,0.000000,0.011248,29.998634,3412.384778,0.789939,42.936114
4008,social,0.087973,0.054256,0.001782,0.009220,29.999865,2.031016,0.931495,23.312309
4009,money,0.260122,159.669190,0.606260,10.470637,3.052387,16213.043813,0.771002,45.561381
4009,social,0.429888,0.226329,0.004957,0.118014,14.649989,0.880191,0.823148,38.332381
4010,money,0.095023,125.356485,0.000000,0.030623,29.999575,38379.076891,0.838840,35.140886
4010,social,0.443948,0.281758,0.246731,0.208730,3.070799,0.630644,0.772120,44.020243
4012,money,0.077093,0.086775,1.000000,0.045701,29.999621,119.720305,0.939627,22.185035
4012,social,0.179727,0.218881,0.000000,0.007734,12.491038,7.192510,0.785613,43.535859
4013,money,0.087962,0.550854,0.000000,0.306677,9.902441,0.375154,0.693341,56.327496
4013,social,0.486642,0.930081,0.200706,0.078427,2.551058,0.373805,0.736102,50.399508
4014,money,0.981600,0.046007,0.002744,0.003503,29.828142,11.121219,0.799525,41.607276
4014,social,0.697115,0.221517,0.747152,0.006325,2.881154,89.105308,0.853340,33.913391
4016,money,0.306506,0.425190,1.000000,0.061082,29.999911,1067.933004,0.869361,31.925986
4016,social,0.019587,0.223998,1.000000,0.009514,29.998423,25.023054,0.956724,19.814868
4017,money,0.258169,56.388637,0.000000,0.007726,29.999980,2365.341922,0.829959,37.388157
4017,social,0.126662,0.107653,0.776241,0.016501,3.294408,1.680570,0.787119,43.327076
4018,money,0.297470,0.245760,0.000000,0.180616,4.855457,1.036332,0.646916,60.682907
4018,social,0.088470,0.204431,0.000000,0.080764,29.787008,1.144074,0.850810,34.497595
4019,money,0.131721,0.590018,0.999446,0.000799,3.977063,142.243439,0.818721,38.946149
4019,social,0.793760,0.147795,0.281066,0.075247,11.149834,7.029608,0.916989,25.178082
4020,money,0.400785,0.341439,0.821068,0.004585,2.461905,38.781889,0.860635,33.135567
4020,social,0.302975,467902.695283,0.000000,33.717370,29.973798,238992937.617892,0.629986,65.110311
