subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.025143,0.010076,49.999996,13.100265,0.715337,44.516049
3001,social,1.000000,0.479872,0.618914,0.141238,0.050212,93.933366
3002,money,0.458395,0.150072,1.713035,2.296513,0.249681,91.977136
3002,social,0.108561,1.327802,6.260797,6.925781,0.314292,99.414061
3004,money,0.253355,0.132728,49.999978,46.168814,0.907763,21.849097
3004,social,0.589825,0.121195,5.520644,1.253080,0.746594,43.596943
3005,money,0.001716,0.006867,49.997240,201.501598,0.172236,122.795154
3005,social,0.000631,0.000810,49.986051,88.520245,0.029056,142.445658
3006,money,0.108666,0.058794,5.312633,0.889130,0.381389,94.968096
3006,social,0.180628,0.904604,6.697528,3.016291,0.786817,38.132279
3010,money,0.300446,0.117698,3.425682,0.729006,0.570303,64.464102
3010,social,0.390684,0.125579,1.042839,0.318182,0.102985,119.651125
3011,money,0.722849,0.107196,3.666285,1.121003,0.628365,55.904544
3011,social,0.051522,0.188087,4.261489,9.284686,0.340782,96.860198
3014,money,0.000000,77.317957,33.132427,36.144567,-0.000000,140.805718
3014,social,0.358987,0.142608,3.314551,0.553274,0.502382,70.373526
3015,money,0.022518,0.008667,49.999598,11.531894,0.858524,28.823144
3015,social,0.028959,0.019894,49.999985,28.672480,0.741717,42.743832
3016,money,0.081320,0.048525,7.051657,1.073437,0.421915,89.349899
3016,social,0.488969,0.120045,4.355551,1.062655,0.643794,58.591030
3017,money,0.034349,0.113062,38.576629,104.633974,0.847251,30.385864
3017,social,0.116493,0.042187,13.827263,3.219355,0.839618,31.443994
3018,money,0.003973,0.001705,49.855123,18.026520,0.437399,87.203368
3018,social,0.006357,0.010538,49.899804,75.880003,0.509930,77.148486
3020,money,0.008171,0.004131,49.999989,28.172121,0.426478,87.086825
3020,social,0.040801,0.075474,9.976025,3.314439,0.408201,90.410548
3021,money,0.518814,0.562752,8.880463,1.453106,0.839321,31.242280
3021,social,0.323750,0.152250,22.867413,5.482367,0.858721,28.579812
3023,money,0.027542,0.006169,49.999993,47.610353,0.788366,38.235590
3023,social,0.009514,0.040485,2.081003,5.207594,0.007272,139.847959
3026,money,0.255321,0.095953,5.052259,1.170347,0.661634,52.689114
3026,social,0.646470,0.154589,2.198015,0.315513,0.328312,98.519736
3029,money,0.127460,0.039395,5.756326,1.500612,0.438204,87.091866
3029,social,0.206215,0.055082,15.226213,11.014682,0.919428,20.248174
3030,money,0.085750,0.033144,12.369784,7.476112,0.806555,36.027449
3030,social,0.291257,0.068161,6.445755,1.704471,0.554942,70.271408
3033,money,0.153676,0.082010,4.092480,0.630590,0.375178,95.829042
3033,social,0.308896,0.052450,3.458416,3.216636,0.588052,63.360439
3034,money,0.003508,0.004994,49.999485,68.974909,0.239242,104.993495
3034,social,0.248589,0.096686,3.237342,0.730184,0.423335,72.718198
3036,money,0.021835,0.039825,49.999934,93.085216,0.863790,27.884145
3036,social,0.006762,0.052707,43.378191,318.501704,0.628454,60.717560
3037,money,0.064338,0.049080,40.393456,40.664910,0.876238,25.407004
3037,social,0.219016,0.081705,5.465751,0.437598,0.645283,55.823317
3039,money,0.014423,0.288987,21.592216,0.217628,0.353817,94.208729
3039,social,0.425093,0.476612,0.547800,0.958779,0.034872,141.647383
3040,money,0.002132,0.000602,49.852146,5.537246,0.143247,126.773659
3040,social,0.390487,0.586798,1.334052,2.156721,0.186058,117.451541
3041,money,0.023863,0.016114,49.999997,31.772373,0.825315,32.639386
3041,social,0.051347,0.215573,49.999950,0.943078,0.774986,40.403920
4001,money,0.583180,0.210999,15.521176,10.315518,0.911101,21.391073
4001,social,0.130465,0.057187,8.753392,2.126414,0.750945,43.371376
4002,money,0.132420,0.338701,18.730125,45.762108,0.919992,19.908104
4002,social,0.029442,0.028406,49.999851,41.149956,0.841892,30.649959
4003,money,0.523329,0.108094,4.359570,0.320425,0.564525,68.332248
4003,social,0.223952,0.064474,8.197349,2.508893,0.588834,66.210001
4004,money,0.866499,0.163019,49.999742,112.759619,0.894802,23.793926
4004,social,0.166448,0.764643,3.203224,3.898651,0.305600,105.474624
4005,money,0.190913,0.064419,3.331641,0.584783,0.501804,76.142105
4005,social,0.134948,0.109574,15.822677,11.564508,0.822011,32.548512
4006,money,0.304536,0.209989,3.936788,0.423461,0.611505,63.067177
4006,social,0.218898,0.079914,13.659596,6.736864,0.900143,22.894867
4007,money,0.234516,0.113306,4.379257,0.832829,0.628032,59.704296
4007,social,0.522984,0.212210,3.475499,0.783171,0.588515,65.073049
4008,money,0.131336,0.086594,5.505556,0.353140,0.417355,89.982143
4008,social,0.010268,0.004889,49.999961,52.336065,0.409629,91.053144
4009,money,0.353740,0.121231,5.815896,1.731771,0.762152,42.183124
4009,social,0.356618,0.117895,6.453135,1.547561,0.813514,35.062801
4010,money,0.153557,0.107455,3.564135,1.827543,0.327508,98.626765
4010,social,0.089438,0.217791,11.891455,9.265475,0.767846,40.024772
4012,money,0.084377,0.115135,49.999999,33.314060,0.932612,18.552299
4012,social,0.271789,0.121541,5.508261,2.058015,0.503103,78.094884
4013,money,0.389795,0.083442,6.323702,1.458642,0.750772,43.760721
4013,social,0.195123,0.090579,5.505627,0.501038,0.736690,45.712911
4014,money,0.498836,0.060777,4.171187,0.672813,0.693022,51.766541
4014,social,0.450441,0.086975,13.525889,4.966688,0.877100,26.057365
4015,money,0.154728,0.138759,8.078784,0.787013,0.615696,60.827014
4015,social,0.000788,0.001458,49.896997,95.174369,0.015497,130.445424
4016,money,0.529730,0.065422,10.092394,1.715324,0.838926,31.539887
4016,social,0.206279,0.063903,43.966135,30.689865,0.956773,15.202940
4017,money,0.523371,0.315380,4.791675,0.727282,0.633170,60.063810
4017,social,0.302322,0.082669,7.187297,1.868272,0.775284,40.362551
4018,money,0.340367,0.270388,4.252905,0.445432,0.654081,55.165067
4018,social,0.074067,0.095152,22.071570,29.489110,0.881485,25.640026
4019,money,0.459510,0.069660,7.585945,1.983375,0.746048,44.415561
4019,social,0.075633,0.113661,37.050137,56.544603,0.906631,22.004522
4020,money,0.476264,0.090759,7.508169,1.904156,0.746900,44.297461
4020,social,0.167391,0.120160,5.679613,0.937605,0.429691,88.271914
4021,money,0.422167,0.197424,6.941165,1.096065,0.803765,35.829847
4021,social,0.018144,0.017320,49.999998,39.516001,0.784610,37.793691
4022,money,0.118930,0.060279,5.479738,1.355420,0.404518,90.070180
4022,social,0.125190,0.130258,3.827883,0.808992,0.301835,105.008571
4023,money,0.441071,0.217878,26.814921,54.728312,0.906172,22.067448
4023,social,0.165101,0.109048,3.150672,0.639116,0.293566,106.143412
4025,money,0.060819,0.045152,32.383265,29.295045,0.886703,24.739512
4025,social,0.197798,0.087942,14.390271,6.107191,0.807466,35.901166
4026,money,0.461531,4.644230,2.762431,6.417089,0.317257,88.366225
4026,social,0.239098,0.163587,12.762348,10.094487,0.858869,27.043258
4027,money,0.583404,0.122630,3.452614,0.675825,0.618194,61.590492
4027,social,0.598326,0.125246,3.673836,1.123022,0.570928,68.077455
4028,money,0.033731,0.049825,25.144662,39.004760,0.765031,40.745785
4028,social,0.204836,0.132047,6.313781,1.505051,0.635179,59.785265
4029,money,0.292581,0.109702,5.246554,0.622966,0.756011,39.801597
4029,social,0.015430,0.022691,49.999521,75.506354,0.775247,39.039839
4030,money,0.355179,0.047779,19.279643,7.223493,0.846565,29.781860
4030,social,0.033529,0.094512,18.609807,79.058353,0.693286,49.054982
