subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.218704,0.118785,0.010167,0.009607,7.616585,2.017132,0.722810,43.887383
3001,social,0.000000,2.825368,0.005768,0.579063,3.000909,271.528602,-0.045293,94.726894
3002,money,0.802318,0.230721,0.010193,0.006457,2.696100,0.646392,0.287575,81.879639
3002,social,0.298716,0.101896,0.015684,0.005807,5.000238,1.232822,0.440923,79.206813
3004,money,0.185497,0.056394,0.917196,0.121313,7.835412,3.172254,0.885090,27.643531
3004,social,0.168674,7.086000,1.000000,6.868301,2.971607,25.983272,0.696459,50.462140
3005,money,0.002860,0.016676,0.884011,0.268986,1.320750,0.308490,0.236875,107.620382
3005,social,0.023464,0.018738,0.000534,0.004095,5.311436,0.740987,0.061610,129.244630
3006,money,0.201976,0.173179,0.000000,0.005530,8.497384,2.809671,0.704829,50.326868
3006,social,0.088280,0.067951,0.342958,0.124056,3.891164,1.138289,0.817884,35.649107
3010,money,0.519718,0.852472,0.212775,0.004258,2.108767,0.000317,0.592269,60.171015
3010,social,0.000000,0.988059,1.000000,0.911596,1.137708,1.793643,0.221171,99.520938
3011,money,0.699026,0.212608,0.769915,0.134864,2.152044,0.462177,0.653289,52.632886
3011,social,0.111903,0.082055,0.029494,0.027779,2.812344,1.241480,0.373481,88.057426
3014,money,1.000000,1.001733,0.000000,1.003578,3.694103,46.687525,0.803146,36.524215
3014,social,0.050199,0.042661,0.487547,0.116196,2.428717,0.568527,0.527040,66.291970
3015,money,0.112694,0.070047,0.332111,0.105510,4.811809,1.605467,0.849442,32.283961
3015,social,0.139753,0.100323,0.000000,0.008257,9.990673,3.555333,0.800789,36.801978
3016,money,0.349270,0.267871,0.000000,0.011178,11.197528,4.431422,0.878309,28.682351
3016,social,0.469598,0.160574,0.010229,0.007352,5.813020,1.121956,0.692949,51.809095
3017,money,0.189731,0.156427,0.589092,0.141925,8.613526,3.175425,0.941507,20.797386
3017,social,0.515709,0.239692,0.267949,0.000557,5.934335,1.300569,0.902950,25.608078
3018,money,0.200112,0.167994,0.019110,0.020206,3.783550,1.845793,0.484807,77.778288
3018,social,0.116651,0.046339,0.055553,0.028328,5.205378,2.620949,0.606978,62.535415
3020,money,0.343573,0.201666,0.003341,0.008486,13.209164,3.520721,0.919179,23.291667
3020,social,0.194748,0.300771,0.000000,0.015802,8.505433,3.434791,0.747890,44.954302
3021,money,0.175122,0.244247,1.000000,0.961693,5.651278,7.185517,0.820547,35.889196
3021,social,0.125917,0.302897,1.000000,0.653276,9.171040,31.324299,0.858467,30.928305
3023,money,0.337312,0.191268,0.402634,0.083714,7.714684,3.110598,0.897808,26.074410
3023,social,0.557260,3563.595791,0.000000,233.215572,0.731410,9962.250772,-0.031128,134.830930
3026,money,0.079459,0.040140,0.496131,0.116876,2.825663,0.636300,0.684673,50.011921
3026,social,0.190464,11.142642,0.000000,0.378381,6.010373,188.796863,0.462667,78.204144
3029,money,0.233010,0.091361,0.000000,0.003173,11.573343,4.088540,0.828828,34.855962
3029,social,1.000000,0.786577,0.520657,0.150971,7.041792,3.420796,0.946735,20.037746
3030,money,0.426110,0.236509,0.206916,0.069299,2.991332,0.794590,0.772710,41.857579
3030,social,0.219210,0.103381,0.000430,0.005592,10.958339,2.959857,0.868099,29.739867
3033,money,0.272202,0.214971,0.000000,0.007898,11.553334,5.325171,0.829428,34.781099
3033,social,0.552476,0.226745,0.384029,0.114485,2.036193,0.392472,0.678410,51.222492
3034,money,0.055374,0.773281,0.000000,0.062616,7.728952,101.154180,0.228776,100.889874
3034,social,0.361350,0.140715,0.004718,0.009811,4.492111,1.150311,0.488118,63.170973
4002,money,0.196556,0.172135,0.363877,0.124090,7.749845,2.874852,0.945917,19.920511
4002,social,0.284367,0.113332,0.015692,0.009401,8.450682,2.081909,0.806815,36.999458
4003,money,0.389304,0.144813,0.004289,0.006486,7.076410,1.398278,0.702497,50.171917
4003,social,0.448915,0.229272,0.013542,0.012340,7.677076,1.534460,0.799293,38.540885
4004,money,0.239063,0.165453,1.000000,0.054416,7.087634,4.138939,0.883894,27.985613
4004,social,0.323715,27.272833,0.000000,1.006421,10.693609,2581.278683,0.667715,54.957441
4005,money,0.089753,0.038761,1.000000,1.284186,2.172539,1.107919,0.547731,67.944865
4005,social,0.086571,0.034315,0.794570,0.112648,7.700214,2.713782,0.845308,31.556060
