subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.520524,0.200504,1.000791,0.240446,0.229064,94.263641
3001,social,0.003193,0.006401,3.007702,3.019125,-0.048289,90.920633
3002,money,0.486159,0.136551,0.844986,0.205249,0.202460,85.890721
3002,social,0.810854,0.426679,0.506606,0.152185,0.061831,119.434461
3004,money,0.572347,0.071725,4.615932,1.262536,0.830259,29.919971
3004,social,0.817989,0.116303,2.239443,0.539888,0.681953,47.754515
3005,money,0.011861,0.007990,5.364938,3.298352,0.229893,103.993245
3005,social,0.005972,0.005170,3.995745,3.170455,0.040794,127.324331
3006,money,0.003259,0.003865,2.965123,2.801580,-0.007855,134.746102
3006,social,0.275737,0.072578,3.213711,0.912244,0.797121,33.704641
3010,money,0.300729,0.089759,1.816034,0.371652,0.578268,57.363219
3010,social,0.000000,0.994400,3.000000,895.589926,-0.037846,123.864827
3011,money,0.745933,0.097058,2.156112,0.456652,0.652711,48.291870
3011,social,0.039165,0.029873,3.141764,1.938611,0.363203,84.828463
3014,money,0.000000,0.999690,3.000000,1759.800328,-0.035620,130.917548
3014,social,0.483539,0.121128,1.748338,0.358612,0.513350,63.434771
3015,money,0.262876,0.059977,4.330572,1.502870,0.828963,30.339336
3015,social,0.606168,0.087086,2.502566,0.537232,0.645850,50.616624
3016,money,0.003997,0.004961,2.912350,2.991776,0.002171,133.495254
3016,social,0.711176,0.101807,1.860980,0.377900,0.607411,57.981600
3017,money,0.398423,0.032119,12.264285,5.098696,0.900962,21.356202
3017,social,0.309167,0.073595,5.156846,2.100280,0.898575,21.654023
3018,money,0.029625,0.016466,4.990363,2.686244,0.462231,76.095110
3018,social,0.082686,0.026265,4.201763,1.697496,0.597016,59.278511
3020,money,0.696381,0.118055,1.110242,0.262271,0.170039,110.204909
3020,social,0.002682,0.003522,2.989738,2.971256,-0.019410,136.187807
3021,money,0.716194,0.082797,3.288348,0.788790,0.745709,40.726569
3021,social,0.743218,0.104997,2.170222,0.549590,0.605919,57.599067
3023,money,0.385988,0.053109,7.935652,3.103809,0.897281,21.650822
3023,social,0.000000,0.999131,3.000000,225.223880,-0.035620,130.917548
3026,money,0.372030,0.070618,2.420329,0.519810,0.643442,50.382359
3026,social,0.947765,0.155212,0.895432,0.186232,0.292008,94.321086
3029,money,0.003844,0.004824,2.870233,2.911109,-0.002307,134.053959
3029,social,0.547689,0.146367,7.490572,3.635573,0.942026,16.130167
3030,money,0.235808,0.079699,2.897846,0.744354,0.762963,38.573883
3030,social,0.500702,0.064607,1.946857,0.442586,0.442284,77.788355
3033,money,0.003494,0.004232,2.935859,3.003655,-0.002804,134.115928
3033,social,0.430097,0.104135,2.027804,0.380857,0.675397,47.134905
3034,money,1.000000,1.029318,0.439348,0.150665,0.055307,116.202471
3034,social,0.307862,0.076269,1.645906,0.345603,0.417048,65.903496
4002,money,0.301021,0.049171,8.083121,3.185622,0.943100,15.794386
4002,social,0.422568,0.084786,3.248554,0.792850,0.775945,36.287975
4003,money,0.884040,0.172220,1.236689,0.312336,0.434774,78.714954
4003,social,0.552407,0.062455,3.463317,0.868871,0.525372,68.217292
4004,money,0.831951,0.087179,4.547790,1.915226,0.805937,33.212187
4004,social,0.002071,0.002739,2.996015,3.007453,-0.019775,136.233331
4005,money,0.078945,0.050589,2.965546,1.498570,0.507094,68.379989
4005,social,0.388372,0.049119,5.802934,1.661603,0.803817,32.002523
4006,money,0.268487,0.082553,2.443009,0.611816,0.667419,50.494621
4006,social,0.348660,0.074723,7.204345,3.595937,0.937985,16.628673
4007,money,0.302021,0.107952,2.348888,0.561799,0.682448,47.694081
4007,social,0.573001,0.157728,1.773894,0.393849,0.570054,62.024053
4008,money,0.004049,0.004648,2.890867,2.850811,0.002596,133.442262
4008,social,0.002618,0.003137,2.967030,2.884720,-0.016288,135.798290
4009,money,0.508236,0.085702,2.600523,0.577386,0.710149,45.163311
4009,social,0.422851,0.096066,3.202953,0.767879,0.811360,32.535620
4010,money,0.003384,0.004045,2.989925,2.976234,-0.002578,128.437307
4010,social,0.276884,0.096490,3.061780,0.882457,0.805935,32.337484
4012,money,0.682271,0.105949,2.543658,0.645238,0.686368,48.130433
4012,social,0.947408,0.270254,0.506553,0.152574,0.067246,125.376031
4013,money,0.476440,0.067379,3.203615,0.783696,0.730786,42.588481
4013,social,0.211120,0.066590,2.576521,0.589866,0.712138,44.915154
4014,money,0.643227,0.124304,2.033860,0.416344,0.708134,45.414680
4014,social,0.733333,0.089688,3.331248,0.866772,0.779259,36.540689
4016,money,0.709849,0.068682,3.437355,0.772901,0.721736,43.717602
4016,social,0.679392,0.098397,2.971563,0.787910,0.721035,43.805045
4017,money,0.939122,0.131762,1.342008,0.278440,0.514373,69.589623
4017,social,0.556554,0.103113,2.742339,0.616831,0.688243,47.896424
4018,money,0.445529,0.160488,1.999520,0.435536,0.663176,49.065318
4018,social,0.447295,0.240721,5.348986,2.522192,0.960079,13.980383
4019,money,0.757055,0.098937,2.149760,0.508040,0.630101,55.150595
4019,social,0.625379,0.198986,6.301064,2.913736,0.936826,16.771686
4020,money,0.635985,0.077663,2.932796,0.686417,0.709957,45.187310
4020,social,0.003024,0.003641,3.062844,3.000000,-0.011217,135.165636
