subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.497314,0.262246,0.972360,0.446251,0.248737,102.732087
3001,social,0.000349,0.423237,29.740208,0.164188,0.056731,93.345892
3002,money,0.475915,0.159165,0.774080,0.474224,0.215837,95.730461
3002,social,0.897038,0.492138,0.414986,0.145041,0.092342,128.644435
3004,money,0.588400,0.053929,3.395924,0.647264,0.751050,43.356864
3004,social,0.802418,0.102861,2.364531,0.503479,0.724235,46.634455
3005,money,0.002040,0.002838,29.955343,35.731758,0.243699,112.987317
3005,social,0.000784,0.000278,29.362005,2.243003,0.066157,137.353811
3006,money,0.043642,2.196559,0.421410,1.098355,0.024819,144.399173
3006,social,0.272032,0.076591,3.358910,0.449779,0.801408,36.150055
3010,money,0.327489,0.098066,1.837547,0.383256,0.593750,61.441128
3010,social,0.500672,0.103591,0.441602,0.229160,0.084764,121.899320
3011,money,0.762947,0.121102,1.877547,0.218565,0.621457,56.776031
3011,social,0.041193,0.061938,3.099077,3.402912,0.366729,93.407082
3014,money,0.776811,0.000000,0.000001,0.000000,-0.000000,140.805718
3014,social,0.460345,0.107529,1.698609,0.394891,0.511924,69.196140
3015,money,0.256371,0.070107,4.283377,1.453156,0.813005,35.133330
3015,social,0.590374,0.072379,2.250420,0.521027,0.627672,57.605305
3016,money,0.050397,0.082346,0.473282,0.292927,0.035444,142.926194
3016,social,0.645812,0.079243,1.926416,0.309784,0.602824,64.270571
3017,money,0.395164,0.065946,6.101247,0.588346,0.810545,35.474317
3017,social,0.316483,0.050468,3.803972,0.581191,0.828547,32.978808
3018,money,0.019250,0.016362,8.096354,7.018075,0.463218,83.624119
3018,social,0.091357,0.587171,3.050149,0.597799,0.513870,76.602218
3020,money,0.712508,0.258847,1.177179,1.737412,0.231953,113.514346
3020,social,0.560530,1.685756,0.245187,0.323269,0.020933,143.560471
3021,money,0.718332,0.075540,3.416514,1.009394,0.785881,38.576612
3021,social,0.809901,0.079519,1.701299,0.152459,0.580703,66.735847
3023,money,0.391850,0.064623,3.295477,0.817399,0.709024,49.124657
3023,social,0.106440,0.280439,0.119224,0.045057,0.003198,140.384584
3026,money,0.385010,0.073821,2.314023,0.498844,0.631669,56.552400
3026,social,0.985083,0.168884,0.791085,0.115044,0.284391,104.365028
3029,money,0.290481,0.108281,0.364123,0.153010,0.044052,141.732805
3029,social,0.479897,0.091886,3.827327,1.375289,0.853498,29.296590
3030,money,0.210231,0.184273,2.525433,2.005229,0.647765,58.040493
3030,social,0.505948,0.035333,1.945798,0.766162,0.459007,83.437830
3033,money,0.470487,0.121424,0.316803,0.539072,0.042539,141.942591
3033,social,0.365023,0.088452,1.720483,0.453953,0.585803,63.656596
3034,money,1.000000,0.332836,0.407303,0.256109,0.108092,121.538359
3034,social,0.296239,0.106486,1.590865,0.525658,0.415891,73.543808
4001,money,0.750120,0.059265,3.824232,1.497148,0.797325,37.006037
4001,social,0.260406,0.037330,2.834966,0.585863,0.713332,48.533441
4002,money,0.284658,0.039173,4.894703,3.131724,0.836564,31.126750
4002,social,0.444329,0.084164,3.393374,0.866945,0.804075,35.787624
4003,money,0.895010,0.082668,1.148941,1.011946,0.430171,86.585067
4003,social,0.484243,0.077483,2.605267,0.432829,0.460046,84.063842
4004,money,0.782630,0.125336,3.061021,1.414050,0.747831,44.168431
4004,social,0.564041,0.394447,0.209640,0.131824,0.018438,145.283764
4005,money,0.090332,0.144318,2.777670,2.175695,0.515203,74.340394
4005,social,0.393363,0.197148,4.223880,0.644577,0.746238,42.527629
4006,money,0.273776,0.074833,2.326724,0.344744,0.630588,60.421695
4006,social,0.342859,0.071486,5.366886,2.155530,0.898845,23.073058
4007,money,0.274717,0.122738,2.272066,0.350641,0.640991,57.943776
4007,social,0.614761,0.153060,1.763465,0.510490,0.597462,63.857534
4008,money,0.606553,0.054179,0.305015,0.171341,0.038490,142.503981
4008,social,1.000000,1.548734,0.229305,37.407875,0.031659,143.450934
4009,money,0.520251,0.109130,2.665785,0.543572,0.743535,44.763919
4009,social,0.430654,0.129143,3.308476,1.497605,0.822820,33.772667
4010,money,0.011107,0.804665,1.030406,0.603874,0.032486,137.889644
4010,social,0.264392,0.064243,3.115528,0.684740,0.768258,39.969917
4012,money,0.684087,0.107138,2.626204,0.784613,0.730883,46.517885
4012,social,0.985117,0.262075,0.495814,0.152330,0.134898,129.138896
4013,money,0.501160,0.171220,2.678138,0.214643,0.689685,52.229126
4013,social,0.213869,0.088068,2.585737,0.334707,0.725821,47.219615
4014,money,0.605793,0.077209,2.086510,0.606829,0.702234,50.489481
4014,social,0.733578,0.214092,2.885677,0.652211,0.746608,43.966520
4016,money,0.716166,0.179606,3.505021,0.621550,0.749111,43.990955
4016,social,0.656871,0.111319,3.256166,1.323042,0.744211,44.670182
4017,money,0.958378,0.062804,1.060775,0.738959,0.438602,87.036677
4017,social,0.553547,0.098740,2.894772,0.309471,0.729301,46.737227
4018,money,0.441731,0.236327,1.889230,0.130876,0.630644,58.284223
4018,social,0.312475,0.076681,3.576736,1.145828,0.850795,29.894513
4019,money,0.745116,0.989682,2.173484,1.362973,0.642646,58.750075
4019,social,0.456941,0.093209,5.117604,1.881876,0.904098,22.352107
4020,money,0.619093,0.136129,2.745595,0.661187,0.684224,52.986166
4020,social,0.440618,0.008904,0.269828,149.909549,0.022715,144.690848
