subject,trial,slotchoice,reward,ExpectedValue,RPE
4016,1,1,3,2.000000,1.000000
4016,2,1,3,2.679392,0.320608
4016,3,1,3,2.897210,0.102790
4016,4,1,1,2.967045,-1.967045
4016,5,2,-1,2.000000,-3.000000
4016,6,3,1,2.000000,-1.000000
4016,7,1,3,1.630650,1.369350
4016,8,1,1,2.560976,-1.560976
4016,9,1,3,1.500461,1.499539
4016,10,1,3,2.519236,0.480764
4016,11,3,1,1.320608,-0.320608
4016,12,3,1,1.102790,-0.102790
4016,13,3,3,1.032955,1.967045
4016,14,1,3,2.845863,0.154137
4016,15,3,1,2.369350,-1.369350
4016,16,3,3,1.439024,1.560976
4016,17,1,3,2.950582,0.049418
4016,18,1,1,2.984156,-1.984156
4016,19,1,3,1.636136,1.363864
4016,20,1,1,2.562734,-1.562734
4016,21,3,3,2.499539,0.500461
4016,22,1,3,1.501025,1.498975
4016,23,1,1,2.519417,-1.519417
4016,24,3,-1,2.839548,-3.839548
4016,25,3,1,0.230990,0.769010
4016,26,3,1,0.753449,0.246551
4016,27,3,1,0.920954,0.079046
4016,28,1,3,1.487137,1.512863
4016,29,3,1,0.974657,0.025343
4016,30,3,1,0.991875,0.008125
4016,31,1,3,2.514964,0.485036
4016,32,3,3,0.997395,2.002605
4016,33,3,-1,2.357949,-3.357949
4016,34,3,1,0.076585,0.923415
4016,35,1,3,2.844494,0.155506
4016,36,1,3,2.950143,0.049857
4016,37,1,3,2.984016,0.015984
4016,38,3,1,0.703946,0.296054
4016,39,1,3,2.994875,0.005125
4016,40,1,3,2.998357,0.001643
4016,41,3,1,0.905083,0.094917
4016,42,1,3,2.999473,0.000527
4016,43,3,1,0.969569,0.030431
4016,44,3,1,0.990243,0.009757
4016,45,1,3,2.999831,0.000169
4016,46,1,3,2.999946,0.000054
4016,47,1,3,2.999983,0.000017
4016,48,3,1,0.996872,0.003128
4016,49,3,1,0.998997,0.001003
4016,50,3,1,0.999678,0.000322
4016,51,1,3,2.999994,0.000006
4016,52,3,1,0.999897,0.000103
4016,53,1,3,2.999998,0.000002
4016,54,1,3,2.999999,0.000001
4016,55,3,1,0.999967,0.000033
4016,56,1,1,3.000000,-2.000000
4016,57,1,3,1.641216,1.358784
4016,58,1,3,2.564363,0.435637
4016,59,3,1,0.999989,0.000011
4016,60,3,1,0.999997,0.000003
4016,61,3,1,0.999999,0.000001
4016,62,1,3,2.860331,0.139669
4016,63,3,1,1.000000,0.000000
4016,64,3,1,1.000000,0.000000
4016,65,3,3,1.000000,2.000000
4016,66,3,1,2.358784,-1.358784
4016,67,3,1,1.435637,-0.435637
4016,68,3,1,1.139669,-0.139669
4016,69,3,1,1.044779,-0.044779
4016,70,3,1,1.014356,-0.014356
4016,71,3,1,1.004603,-0.004603
4016,72,1,3,2.955221,0.044779
4016,73,3,1,1.001476,-0.001476
4016,74,1,1,2.985644,-1.985644
4016,75,3,-1,1.000473,-2.000473
4016,76,1,3,1.636613,1.363387
4016,77,1,3,2.562887,0.437113
4016,78,1,1,2.859858,-1.859858
4016,79,3,1,-0.358632,1.358632
4016,80,1,1,1.596285,-0.596285
4016,81,1,3,1.191174,1.808826
4016,82,3,1,0.564412,0.435588
4016,83,3,1,0.860347,0.139653
4016,84,3,1,0.955226,0.044774
4016,85,1,3,2.420076,0.579924
4016,86,1,3,2.814072,0.185928
4016,87,3,1,0.985645,0.014355
4016,88,1,3,2.940390,0.059610
4016,89,3,1,0.995398,0.004602
4016,90,1,3,2.980889,0.019111
4016,91,3,1,0.998524,0.001476
4016,92,3,1,0.999527,0.000473
4016,93,1,3,2.993873,0.006127
4016,94,1,3,2.998036,0.001964
4016,95,1,1,2.999370,-1.999370
4016,96,1,3,1.641014,1.358986
4016,97,3,-1,0.999848,-1.999848
4016,98,1,3,2.564298,0.435702
4016,99,1,3,2.860310,0.139690
4016,100,3,-1,-0.358833,-0.641167
