subject,trial,slotchoice,reward,ExpectedValue,RPE
3030,1,1,1,0.000000,1.000000
3030,2,2,0,0.000000,0.000000
3030,3,1,0,0.009676,-0.009676
3030,4,2,-1,0.000000,-1.000000
3030,5,3,0,0.000000,0.000000
3030,6,3,0,0.000000,0.000000
3030,7,1,0,0.009582,-0.009582
3030,8,3,0,0.000000,0.000000
3030,9,3,1,0.000000,1.000000
3030,10,3,0,0.009676,-0.009676
3030,11,3,0,0.009582,-0.009582
3030,12,2,0,-0.009676,0.009676
3030,13,1,1,0.009490,0.990510
3030,14,3,0,0.009490,-0.009490
3030,15,3,0,0.009398,-0.009398
3030,16,3,-1,0.009307,-1.009307
3030,17,1,1,0.019074,0.980926
3030,18,1,1,0.028565,0.971435
3030,19,1,1,0.037965,0.962035
3030,20,3,0,-0.000459,0.000459
3030,21,3,0,-0.000455,0.000455
3030,22,3,1,-0.000450,1.000450
3030,23,3,0,0.009230,-0.009230
3030,24,3,0,0.009141,-0.009141
3030,25,1,1,0.047274,0.952726
3030,26,3,0,0.009052,-0.009052
3030,27,1,1,0.056492,0.943508
3030,28,1,1,0.065621,0.934379
3030,29,3,-1,0.008965,-1.008965
3030,30,3,0,-0.000798,0.000798
3030,31,1,0,0.074663,-0.074663
3030,32,3,-1,-0.000790,-0.999210
3030,33,1,1,0.073940,0.926060
3030,34,3,0,-0.010459,0.010459
3030,35,1,1,0.082901,0.917099
3030,36,3,0,-0.010357,0.010357
3030,37,3,0,-0.010257,0.010257
3030,38,3,0,-0.010158,0.010158
3030,39,1,1,0.091775,0.908225
3030,40,3,0,-0.010060,0.010060
3030,41,3,-1,-0.009962,-0.990038
3030,42,3,0,-0.019542,0.019542
3030,43,3,0,-0.019353,0.019353
3030,44,1,1,0.100563,0.899437
3030,45,1,1,0.109265,0.890735
3030,46,1,1,0.117884,0.882116
3030,47,1,1,0.126420,0.873580
3030,48,3,0,-0.019166,0.019166
3030,49,1,0,0.134872,-0.134872
3030,50,1,1,0.133567,0.866433
3030,51,3,0,-0.018980,0.018980
3030,52,3,0,-0.018797,0.018797
3030,53,1,1,0.141951,0.858049
3030,54,3,-1,-0.018615,-0.981385
3030,55,3,0,-0.028111,0.028111
3030,56,1,0,0.150253,-0.150253
3030,57,1,1,0.148800,0.851200
3030,58,1,1,0.157036,0.842964
3030,59,1,1,0.165192,0.834808
3030,60,3,0,-0.027839,0.027839
3030,61,1,1,0.173270,0.826730
3030,62,1,1,0.181269,0.818731
3030,63,1,1,0.189191,0.810809
3030,64,3,0,-0.027569,0.027569
3030,65,3,-1,-0.027302,-0.972698
3030,66,1,0,0.197037,-0.197037
3030,67,1,1,0.195130,0.804870
3030,68,1,1,0.202918,0.797082
3030,69,1,1,0.210631,0.789369
3030,70,1,1,0.218269,0.781731
3030,71,3,0,-0.036714,0.036714
3030,72,3,0,-0.036359,0.036359
3030,73,1,1,0.225833,0.774167
3030,74,3,1,-0.036007,1.036007
3030,75,3,0,-0.025983,0.025983
3030,76,1,0,0.233324,-0.233324
3030,77,3,1,-0.025731,1.025731
3030,78,1,1,0.231066,0.768934
3030,79,3,0,-0.015806,0.015806
3030,80,3,0,-0.015653,0.015653
3030,81,1,0,0.238506,-0.238506
3030,82,1,0,0.236198,-0.236198
3030,83,1,1,0.233913,0.766087
3030,84,3,0,-0.015502,0.015502
3030,85,3,0,-0.015352,0.015352
3030,86,-99,-99,-99.000000,-99.000000
3030,87,3,0,-0.015203,0.015203
3030,88,1,1,0.241325,0.758675
3030,89,1,0,0.248666,-0.248666
3030,90,1,1,0.246260,0.753740
3030,91,3,-1,-0.015056,-0.984944
3030,92,1,1,0.253554,0.746446
3030,93,1,1,0.260776,0.739224
3030,94,1,1,0.267929,0.732071
3030,95,1,1,0.275012,0.724988
3030,96,3,0,-0.024587,0.024587
3030,97,1,1,0.282027,0.717973
3030,98,3,1,-0.024349,1.024349
3030,99,3,0,-0.014437,0.014437
3030,100,1,1,0.288974,0.711026
