subject,trial,slotchoice,reward,ExpectedValue,RPE
4003,1,3,0,0.000000,0.000000
4003,2,1,0,0.000000,0.000000
4003,3,3,0,0.000000,0.000000
4003,4,2,-1,0.000000,-1.000000
4003,5,3,-1,0.000000,-1.000000
4003,6,3,1,-0.251602,1.251602
4003,7,2,0,-0.251602,0.251602
4003,8,3,1,0.063304,0.936696
4003,9,1,1,0.000000,1.000000
4003,10,1,1,0.251602,0.748398
4003,11,1,1,0.439901,0.560099
4003,12,3,0,0.298978,-0.298978
4003,13,1,1,0.580823,0.419177
4003,14,1,1,0.686289,0.313711
4003,15,3,0,0.223755,-0.223755
4003,16,3,0,0.167458,-0.167458
4003,17,3,0,0.125325,-0.125325
4003,18,1,1,0.765219,0.234781
4003,19,3,0,0.093793,-0.093793
4003,20,3,0,0.070194,-0.070194
4003,21,1,1,0.824290,0.175710
4003,22,1,0,0.868499,-0.868499
4003,23,3,0,0.052533,-0.052533
4003,24,1,1,0.649983,0.350017
4003,25,1,1,0.738048,0.261952
4003,26,1,1,0.803956,0.196044
4003,27,3,0,0.039316,-0.039316
4003,28,3,0,0.029424,-0.029424
4003,29,3,0,0.022021,-0.022021
4003,30,3,0,0.016480,-0.016480
4003,31,1,1,0.853281,0.146719
4003,32,3,0,0.012334,-0.012334
4003,33,3,0,0.009231,-0.009231
4003,34,1,1,0.890196,0.109804
4003,35,1,0,0.917823,-0.917823
4003,36,1,1,0.686897,0.313103
4003,37,3,0,0.006908,-0.006908
4003,38,1,1,0.765674,0.234326
4003,39,3,0,0.005170,-0.005170
4003,40,1,0,0.824631,-0.824631
4003,41,3,0,0.003869,-0.003869
4003,42,3,-1,0.002896,-1.002896
4003,43,3,0,-0.249435,0.249435
4003,44,1,1,0.617152,0.382848
4003,45,3,0,-0.186677,0.186677
4003,46,3,0,-0.139708,0.139708
4003,47,2,0,-0.188298,0.188298
4003,48,3,0,-0.104557,0.104557
4003,49,1,1,0.713477,0.286523
4003,50,1,1,0.785567,0.214433
4003,51,1,1,0.839519,0.160481
4003,52,1,1,0.879896,0.120104
4003,53,3,0,-0.078251,0.078251
4003,54,3,1,-0.058563,1.058563
4003,55,3,0,0.207774,-0.207774
4003,56,3,-1,0.155498,-1.155498
4003,57,3,0,-0.135228,0.135228
4003,58,1,1,0.910115,0.089885
4003,59,3,0,-0.101204,0.101204
4003,60,1,1,0.932730,0.067270
4003,61,1,0,0.949655,-0.949655
4003,62,3,0,-0.075741,0.075741
4003,63,3,0,-0.056684,0.056684
4003,64,1,1,0.710720,0.289280
4003,65,1,1,0.783503,0.216497
4003,66,1,1,0.837974,0.162026
4003,67,3,1,-0.042423,1.042423
4003,68,1,1,0.878740,0.121260
4003,69,1,0,0.909250,-0.909250
4003,70,3,0,0.219853,-0.219853
4003,71,1,1,0.680480,0.319520
4003,72,1,1,0.760872,0.239128
4003,73,1,1,0.821037,0.178963
4003,74,1,1,0.866065,0.133935
4003,75,3,0,0.164538,-0.164538
4003,76,3,0,0.123140,-0.123140
4003,77,1,1,0.899763,0.100237
4003,78,1,1,0.924983,0.075017
4003,79,3,0,0.092157,-0.092157
4003,80,3,0,0.068970,-0.068970
4003,81,1,1,0.943857,0.056143
4003,82,3,0,0.051617,-0.051617
4003,83,1,1,0.957983,0.042017
4003,84,1,1,0.968555,0.031445
4003,85,3,0,0.038630,-0.038630
4003,86,3,0,0.028911,-0.028911
4003,87,3,0,0.021637,-0.021637
4003,88,1,1,0.976466,0.023534
4003,89,1,0,0.982387,-0.982387
4003,90,3,0,0.016193,-0.016193
4003,91,1,1,0.735217,0.264783
4003,92,3,0,0.012119,-0.012119
4003,93,1,1,0.801837,0.198163
4003,94,1,0,0.851695,-0.851695
4003,95,3,0,0.009070,-0.009070
4003,96,3,0,0.006788,-0.006788
4003,97,3,0,0.005080,-0.005080
4003,98,1,1,0.637407,0.362593
4003,99,1,0,0.728636,-0.728636
4003,100,3,0,0.003802,-0.003802
